ground_truth,predicted,tanimoto_score
O=C(NC1=NNN=N1)NC1=CN=CN1,CC=NNC(C)(C)OCCCCPNC(CCPN(=O)O)CNC1(C)C=NNN=C1,0.0
O=S(=O)(N1N=NC(C2=CC=CC=C2)=N1)C(F)(F)F,CS(=O)(=O)C=N(NN=C1C=CC=N1)C(F)(F)F,0.0
NC1=C(C2=CC=C(Cl)C=C2)C(C#CC2=CN=CN=C2)=NC=N1,CC=CC=CNC(C1=CC=CC=N1)C2=CC=C(O)C=C2,0.1720747295968535
COCC#C/C=C(\Br)COCOC,COCO(OCCO)OCCO,0.0
C1=NO1,S=C2P1PP1O2,0.006993006993006993
OCC(CBr)OCC(F)(F)CCl,CCCCC1CC(NCCO)CC1,0.07903780068728522
CCCSC1=NCC(Cl)(CBr)S1,CCC(S)C(Br)(Br)(Br)CS,0.0
[2H]C#CC1=C(O[2H])C(C)=C(C)C(O[2H])=C1C#C[2H],COCOC(OC)C(O)CO(C)=O,0.0
CCOC(/C=C(\Br)C(F)(F)F)OCC,CCOCC(OCC)C(C(C)COCC)C(F)(F)Br,0.09193245778611632
N#CC1=C(S)N=CN1,CNNC(=O)N(N)C(C)N,0.02280130293159609
C(#CC1=NN=C(C#CC2=CC=C(C#CC3=NN=C(C#CC4=CC=CC=C4)S3)C=C2)S1)C1=CC=CC=C1,C=CC=N(NN=CN1C2(C1)CC2)NSSN3=CC=CC=C3,0.0
O=C(O)N(SS(=O)(=O)C1=CC=CC=N1)C1=NOCC1,NC(=O)ONCC(NS(=O)=O)N2(CC1NCCS1)NC(=O)CS2,0.0
CN1CN(C)S1(=O)=O,CNC(C)(C)(C)CC,0.0
C=C(OC=CC)C1=CC=NO1,NCC(NC=CCN)CCO,0.06353591160220995
NSP(=O)(SN)N1C=CCC1,N(C)(C1(CNC=N1)N2C=CC=C2)C3=CC=CN=C3,0.11959521619135234
C=CCN=C1N=NCS1,C=CC=NNC1C=C(C)C=C1C,0.07777777777777778
CCOC1=NN=C(NC#N)O1,COC(=O)C=NSNN=O,0.05390835579514825
C1=CN2N=NC=C2C=NN1,CN2=CC1=C(C)CC=CC1=N2,0.0
[2H]C([2H])=C([2H])C1=CC=CC=N1,C=C(C)(C)(C)(C)(C)(C)(C)C,0.0
COC#CC(=O)C(Cl)Cl,COC(C)=C=C(C)=C=CC,0.0
O=S(=O)(O)C#CCS(=O)(=O)O,NC(O)C#CSP(O)O,0.0783132530120482
NC1=NN=C(OC2=CC=NC=C2)S1,C=N2C=CC(C1=CC=CC=N1)C=N2,0.0
C=[N+](C)O[N-][N+](C)=N,,0.0
CC(C)(C)N(O)C=C1C=NN=C1,CC(C)(C)NC1=CSN=C1(C)C,0.0
O=C(C1=CC=CC=C1)S1(Br)C=CN=C1,,0.0
O=P(O)(C(Cl)(Cl)C(O)Cl)C(Cl)(Cl)C(O)Cl,O=C(O)C(O)=C(O)C(N)(O)C(N)=O,0.13930348258706468
CC(C)(CO)C(=O)OP(N)(=O)CC=S,CC(C)OC(CCN)C1COC(C)(C)O1,0.09369676320272573
O=C(O)C1C(F)=C(F)N1F,COC(=O)C1=NS(=O)(C)=C(C)C1C,0.15553339980059822
COP(=O)(C/C(COC1=CC(Cl)=CC=C1)=N/NC(N)=O)OC,NC1=CC=CC3=C1NC(CNC2=CC=CC=N2)C=C3,0.16069600818833163
C=C(N)[N+](=O)[S-],O=C(O)SN(C)N,0.0989010989010989
CC(CN1NC(Cl)=CC1=O)OC1=CC=CC=C1,O=C2C(=O)O(NCC1=CC=CC=C1)NN2,0.0
CC(C)P(O)(O)(Cl)OCl,,0.0
CN1N=NN(CC2=C(Cl)C=CC(C(=O)O)=C2F)C1=O,O=CNC(=O)C1=C2C(O)C(C)=CCC(O)C1=NO2,0.29602157788267025
NC(=S)N(N)CNC(=S)N(N)CO,NC(=O)NC(N)=NCC(S)N,0.075
CC1=CC(CS(=O)(=O)CC2=NC(C(C)(C)C)=NO2)=C(C)S1,CC(C)(C)CCOC(C)C(C)(C)CC1=NC(C)=NC=N1,0.12229437229437229
CS/N=C/C=N/SC,NC(=O)NSN=CC(=O)NO,0.09558823529411764
CN1N=NN=C1ON,COCC1=NNN2=C1N=NC=N2,0.0
CCN(CC)S(C)(S)CC,CCSP(C)C(C)(C)OC(C)(C)C,0.06042296072507553
